ID_ESTADO,D_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,TIPO_CANDIDATURA,CASILLA,ESTATUS_ACTA,ORDEN,LISTA_NOMINAL_CASILLA,ID_GRUPO,TIPO_RECUENTO,NUM_VOTOS_NULOS,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,TOTAL_VOTOS,BOLETAS_INUTILIZADAS,PAN,PRI,PRD,PVEM,PT,MC,PANAL,PRI_PVEM,PRD_PT_MC,PRD_PT,PRD_MC,PT_MC,ID_MUNICIPIO,LISTA_NOMINAL,VOTOS_RESERVADOS,pan,pri,prd
15,8,5507,2,C,0,1,1,5,72,653,3,2,12,0,395,407,247,51,113,104,4,5,2,13,44,49,9,1,0,110,639,NA,51,161,170
14,15,1644,1,B,0,1,2,5,261,588,1,2,10,0,332,342,246,80,151,37,1,5,5,17,14,6,3,5,8,49,574,NA,80,166,69
15,23,5768,1,C,0,1,2,5,400,470,3,2,14,0,354,368,102,74,204,28,3,1,2,3,32,4,3,0,0,115,456,NA,74,239,38
15,20,3196,6,C,0,1,1,5,183,689,4,2,10,0,356,366,324,41,106,93,3,6,5,4,55,37,4,1,1,60,675,NA,41,164,147
27,4,234,1,C,0,1,1,5,20,657,2,2,6,0,415,421,236,16,81,206,2,4,8,2,24,56,11,5,0,4,643,NA,16,107,290
15,6,532,1,B,0,1,1,2,32,582,NA,NA,10,0,351,361,NA,52,106,97,4,5,5,10,33,34,3,1,1,20,568,NA,52,143,146
9,24,565,1,B,0,1,1,5,102,479,1,2,6,0,331,337,144,70,60,103,0,22,4,9,11,44,5,0,3,3,465,NA,70,71,181
15,22,2604,1,C,0,1,1,1,63,508,NA,NA,2,0,336,338,NA,70,98,75,3,9,4,8,39,21,6,3,0,58,494,NA,70,140,118
15,25,1284,1,B,0,1,1,1,348,553,NA,NA,10,0,322,332,NA,48,97,71,7,6,5,11,47,25,2,2,1,32,539,NA,48,151,112
13,5,1290,1,C,0,1,2,1,239,614,NA,NA,13,0,316,329,NA,55,111,69,3,6,4,10,29,21,6,2,0,63,600,NA,55,143,108
25,2,81,1,E,0,1,1,5,120,578,4,2,3,0,290,293,281,85,90,47,3,7,3,12,20,19,1,3,0,1,564,NA,85,113,80
9,17,3589,2,C,0,1,1,1,467,623,NA,NA,6,0,369,375,NA,64,47,115,4,9,9,6,27,70,14,2,2,10,609,NA,64,78,221
9,19,2899,6,C,0,1,1,1,402,748,NA,NA,5,0,413,418,NA,45,69,137,6,10,8,6,32,85,11,1,3,7,734,NA,45,107,255
30,14,1596,1,B,0,1,2,5,142,680,1,2,9,0,401,410,274,247,96,19,5,7,3,1,15,1,5,1,1,209,666,NA,247,116,37
13,7,1113,2,C,0,1,2,1,182,603,NA,NA,6,0,332,338,NA,65,109,69,5,5,7,11,35,22,4,0,0,56,589,NA,65,149,107
17,4,579,1,E,0,1,2,5,172,554,4,2,26,0,280,306,246,40,80,63,34,13,8,3,23,14,2,0,0,17,540,NA,40,137,100
30,19,3375,1,B,0,1,2,1,273,667,NA,NA,23,0,449,472,NA,154,161,56,4,1,7,2,34,24,5,1,0,142,653,NA,154,199,94
21,15,1972,1,B,0,1,1,5,151,747,1,2,8,0,504,512,239,173,111,99,4,13,16,13,28,34,6,3,4,155,733,NA,173,143,175
13,4,1537,1,C,0,1,1,5,374,620,3,2,8,0,456,464,155,103,118,117,2,13,5,17,48,27,3,3,0,76,606,NA,103,168,168
10,1,1057,1,B,0,1,2,5,387,83,2,2,0,0,27,27,56,3,23,0,0,0,0,0,1,0,0,0,0,24,69,NA,3,24,0
29,1,112,1,B,0,1,2,5,165,165,1,2,4,0,113,117,48,56,38,8,1,0,1,1,5,2,0,1,0,8,151,NA,56,44,12
10,3,105,1,C,0,1,1,5,121,391,3,2,5,0,212,217,174,84,76,3,3,2,0,3,29,10,1,1,0,4,377,NA,84,108,17
9,9,5268,1,C,0,1,1,5,176,536,3,2,4,0,324,328,207,36,77,92,3,7,5,4,39,50,8,3,0,17,522,NA,36,119,165
17,4,560,1,B,0,1,1,5,148,723,1,2,13,0,480,493,230,72,155,169,2,2,2,8,35,23,11,1,0,15,709,NA,72,192,208
31,4,520,1,B,0,1,1,5,334,586,2,2,13,0,407,420,166,167,127,50,2,5,3,5,35,12,1,0,0,50,572,NA,167,164,71
9,26,3088,1,C,0,1,1,1,251,658,NA,NA,9,0,365,374,NA,26,75,125,4,13,6,11,22,68,11,2,2,8,644,NA,26,101,227
13,5,1485,3,C,0,1,2,1,436,761,NA,NA,7,0,470,477,NA,77,137,147,6,7,4,12,27,44,5,4,0,75,747,NA,77,170,211
21,3,21,1,C,0,1,2,1,4,597,NA,NA,6,0,387,393,NA,136,105,56,8,8,2,7,29,27,9,0,0,2,583,NA,136,142,102
15,14,254,2,C,0,1,1,5,14,676,2,3,7,1,405,412,273,66,120,92,4,8,8,9,51,37,6,3,0,13,662,NA,66,175,154
7,11,1189,1,E,0,1,2,5,340,408,4,2,19,0,271,290,117,43,158,8,33,5,5,3,13,0,3,0,0,81,394,NA,43,204,21
20,7,1119,2,C,0,1,2,5,227,613,4,2,27,0,356,383,229,3,164,150,9,0,4,1,12,6,6,1,0,192,599,NA,3,185,167
20,6,1512,1,B,0,1,2,1,219,550,NA,NA,15,0,314,329,NA,26,81,100,17,54,6,6,6,10,6,2,0,318,536,NA,26,104,178
30,14,1432,1,C,0,1,1,1,42,701,NA,NA,5,0,374,379,NA,58,73,153,2,12,2,2,17,45,7,1,2,63,687,NA,58,92,222
15,9,2225,1,B,0,1,2,1,123,727,NA,NA,14,0,487,501,NA,52,279,28,9,3,23,16,63,14,0,0,0,43,713,NA,52,351,68
30,7,2340,1,C,0,1,1,5,241,480,3,2,6,0,280,286,194,140,66,25,1,5,1,1,28,9,1,1,2,211,466,NA,140,95,44
14,12,3460,1,B,0,1,1,1,626,374,NA,NA,3,0,236,239,NA,61,65,38,5,0,32,13,13,8,1,0,0,98,360,NA,61,83,79
11,4,964,1,C,0,1,1,5,401,452,3,2,7,0,244,251,201,110,78,18,6,2,2,6,16,6,0,0,0,17,438,NA,110,100,28
14,6,3079,2,C,0,1,1,5,267,669,3,2,1,0,453,454,215,275,75,32,1,3,20,7,22,14,2,2,0,120,655,NA,275,98,73
9,22,2719,3,C,0,1,1,5,249,654,4,2,8,0,377,385,266,37,55,134,7,17,5,7,22,80,12,1,0,7,640,NA,37,84,249
30,17,2392,1,E,7,1,2,1,251,728,NA,NA,3,2,430,433,NA,236,54,71,2,7,6,1,25,23,3,0,0,106,714,NA,236,81,110
22,3,435,6,C,0,1,1,6,263,659,4,2,6,0,448,454,NA,206,96,84,1,10,9,12,17,13,0,0,0,14,645,1,206,114,116
21,4,67,1,C,0,1,2,5,10,720,2,2,16,0,432,448,272,144,113,93,5,12,35,2,15,7,5,1,0,6,706,NA,144,133,153
10,3,840,1,B,0,1,2,5,280,578,1,2,6,0,420,426,152,120,199,32,2,14,5,9,26,8,4,1,0,15,564,NA,120,227,64
8,5,37,1,B,0,1,2,5,33,170,1,2,4,0,107,111,59,36,44,8,3,1,0,1,10,2,2,0,0,2,156,NA,36,57,13
30,11,919,1,B,0,1,1,5,345,690,2,2,8,0,363,371,315,58,91,107,8,7,1,6,40,36,6,3,0,41,676,NA,58,139,160
18,2,797,1,C,0,1,2,1,364,471,NA,NA,6,0,277,283,NA,66,137,33,3,2,3,9,20,3,1,0,0,17,457,NA,66,160,42
27,6,480,2,C,0,1,1,1,219,685,NA,NA,13,0,441,454,NA,36,84,202,3,7,7,4,19,63,11,5,0,4,671,NA,36,106,295
7,10,223,1,C,0,1,2,5,105,530,2,2,20,0,293,313,213,44,45,75,58,8,3,2,20,23,14,1,0,17,516,NA,44,123,124
9,2,1064,1,B,0,1,1,1,171,675,NA,NA,10,0,440,450,NA,96,73,139,3,6,6,4,32,68,9,3,1,5,661,NA,96,108,232
