clave,turno,tipo,mun,esp_3,esp_6
09DPR0050W,MATUTINO,GENERAL,18,496.09,521.48
09DPR0051V,MATUTINO,GENERAL,18,526.43,554.48
09DPR0052U,MATUTINO,GENERAL,20,528.78,573.66
09DPR0053T,MATUTINO,GENERAL,18,561.26,549
09DPR0054S,MATUTINO,GENERAL,18,534.32,518.51
09DPR0056Q,MATUTINO,GENERAL,18,560.09,577.01
09DPR0057P,VESPERTINO,GENERAL,21,517.51,524.81
09DPR0059N,MATUTINO,GENERAL,23,555.06,575.2
09DPR0100N,MATUTINO,GENERAL,3,527.58,545.43
09DPR0101M,MATUTINO,GENERAL,3,523.88,550
09DPR0102L,MATUTINO,GENERAL,18,570.58,649.74
09DPR0103K,MATUTINO,GENERAL,18,551.11,552.52
09DPR0105I,MATUTINO,GENERAL,18,521.55,542.77
09DPR0107G,MATUTINO,GENERAL,18,563.29,526.21
09DPR0108F,MATUTINO,GENERAL,18,584.57,594.75
09DPR0109E,MATUTINO,GENERAL,22,508.19,554.41
09DPR0110U,MATUTINO,GENERAL,18,567.17,570.78
09DPR0111T,MATUTINO,GENERAL,18,588.48,575.31
09DPR0112S,MATUTINO,GENERAL,18,530.73,552.37
09DPR0113R,MATUTINO,GENERAL,18,508.61,556.34
09DPR0116O,VESPERTINO,GENERAL,13,504.82,509.45
09DPR0117N,MATUTINO,GENERAL,13,544.39,528.9
09DPR0118M,MATUTINO,GENERAL,13,609.07,607.88
09DPR0119L,MATUTINO,GENERAL,17,548.82,551.13
09DPR0120A,MATUTINO,GENERAL,18,568.18,558.35
09DPR0121Z,MATUTINO,GENERAL,18,565.76,558.22
09DPR0122Z,MATUTINO,GENERAL,28,528.58,547.44
09DPR0123Y,MATUTINO,GENERAL,3,525.56,530.73
09DPR0124X,MATUTINO,GENERAL,17,577.81,551.7
09DPR0125W,MATUTINO,GENERAL,24,550.73,567.83
09DPR0126V,MATUTINO,GENERAL,3,546.99,583.24
09DPR0127U,MATUTINO,GENERAL,18,544.19,594.73
09DPR0128T,MATUTINO,GENERAL,3,591.93,576.7
09DPR0129S,MATUTINO,GENERAL,23,608.37,544.93
09DPR0130H,VESPERTINO,GENERAL,21,537.44,494.72
09DPR0131G,MATUTINO,GENERAL,21,527.78,537.86
09DPR0134D,MATUTINO,GENERAL,21,542.64,565.33
09DPR0135C,MATUTINO,GENERAL,3,548.15,574.22
09DPR0137A,VESPERTINO,GENERAL,18,491,524.81
09DPR0138Z,MATUTINO,GENERAL,3,578.68,590.1
09DPR0139Z,VESPERTINO,GENERAL,3,489.69,445.71
09DPR0141N,VESPERTINO,GENERAL,18,496.41,539.72
